epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
1,cnn,noise,0.3,0,1.77250731,1.529110193,0.34260416,0.44749999,0.315860212,0.464465737,0.449932784,0.394153237,0.287130386,,,,
2,cnn,noise,0.3,0,1.462276101,1.379300237,0.469916672,0.497666657,0.329553097,0.504620314,0.497983873,0.408854157,0.278813839,,,,
3,cnn,noise,0.3,0,1.319580674,1.266576529,0.526145816,0.542999983,0.344170034,0.557459652,0.547127008,0.421370953,0.267893136,,,,
4,cnn,noise,0.3,0,1.183923125,1.126797676,0.577812493,0.592750013,0.363155246,0.603830636,0.600302398,0.45102486,0.281922042,,,,
5,cnn,noise,0.3,0,1.059733391,1.064949274,0.62075001,0.629083335,0.358114928,0.635920703,0.632056475,0.457745284,0.285954297,,,,
6,cnn,noise,0.3,0,0.949736595,0.942956209,0.663874984,0.667583346,0.379284263,0.674563169,0.67338711,0.477234542,0.290070564,,,,
7,cnn,noise,0.3,0,0.841197848,0.892619789,0.700312495,0.692833304,0.373823911,0.704133093,0.696740568,0.475386411,0.284442216,,,,
8,cnn,noise,0.3,0,0.744754255,0.799933195,0.73908335,0.729083359,0.370463699,0.736895144,0.732190847,0.498319894,0.286290318,,,,
9,cnn,noise,0.3,0,0.655361354,0.80723989,0.769229174,0.726833344,0.362567216,0.73857528,0.733114898,0.478746653,0.289230525,,,,
10,cnn,noise,0.3,0,0.588213384,0.780427337,0.792249978,0.743416667,0.358030915,0.75361222,0.746891797,0.482106864,0.282594085,,,,
11,cnn,noise,0.3,0,0.52451539,0.747522891,0.816208363,0.760333359,0.365843415,0.773521483,0.763020813,0.486055106,0.288642466,,,,
12,cnn,noise,0.3,0,0.470935106,0.614119411,0.834895849,0.809249997,0.37861222,0.816616237,0.813928068,0.504032254,0.293682784,,,,
13,cnn,noise,0.3,0,0.431687415,0.659567058,0.847041667,0.793416679,0.366179436,0.801831305,0.797967076,0.490927428,0.290322572,,,,
14,cnn,noise,0.3,0,0.397477061,0.560367107,0.859749973,0.830666661,0.385668695,0.83022511,0.83291328,0.522345424,0.291750669,,,,
15,cnn,noise,0.3,0,0.369890869,0.561562002,0.869312525,0.833083332,0.378192216,0.835769475,0.836189508,0.516297042,0.29057461,,,,
16,cnn,noise,0.3,0,0.34030661,0.557588458,0.880604148,0.841833353,0.371891797,0.844254017,0.843833983,0.511004686,0.281586021,,,,
17,cnn,noise,0.3,0,0.332067728,0.547091961,0.884000003,0.848416686,0.381384403,0.853998661,0.851898551,0.523857534,0.275789648,,,,
18,cnn,noise,0.3,0,0.311372489,0.527734935,0.890749991,0.858583331,0.370715737,0.863743305,0.861727178,0.518733203,0.277469754,,,,
19,cnn,noise,0.3,0,0.295137882,0.517028689,0.898874998,0.867083311,0.373991936,0.872395813,0.870547712,0.522261441,0.289566547,,,,
20,cnn,noise,0.3,0,0.282314748,0.494973928,0.903333306,0.873666644,0.373319894,0.876680136,0.873823941,0.525789678,0.285702288,,,,
21,cnn,noise,0.3,0,0.263529718,0.497769326,0.909666657,0.872083306,0.371891797,0.873319864,0.873151898,0.523605525,0.269489259,,,,
22,cnn,noise,0.3,0,0.259002745,0.42534709,0.910416663,0.895749986,0.38222447,0.897765458,0.895161271,0.535618305,0.291582674,,,,
23,cnn,noise,0.3,0,0.25082776,0.438624471,0.91360414,0.892250001,0.375840068,0.895245314,0.894993305,0.549731195,0.284610212,,,,
24,cnn,noise,0.3,0,0.233029842,0.505584836,0.91854167,0.875083327,0.369455636,0.882896483,0.874579966,0.521673381,0.278477818,,,,
25,cnn,noise,0.3,0,0.232893601,0.494516551,0.92049998,0.881749988,0.374747992,0.88583672,0.884744644,0.520245314,0.282174051,,,,
26,cnn,noise,0.3,0,0.225024268,0.483587354,0.922916651,0.887583315,0.37289986,0.888440847,0.889448941,0.531670034,0.284274191,,,,
27,cnn,noise,0.3,0,0.214126825,0.462624311,0.928041637,0.891916692,0.365759403,0.895749331,0.894405246,0.52133739,0.270833343,,,,
28,cnn,noise,0.3,0,0.211092353,0.471453816,0.927604139,0.888833344,0.375756055,0.896169364,0.891549051,0.531418025,0.287298381,,,,
29,cnn,noise,0.3,0,0.208687007,0.466686636,0.928937495,0.896916687,0.376176089,0.901209652,0.899109542,0.53755039,0.278309822,,,,
30,cnn,noise,0.3,0,0.201288313,0.42305252,0.931166649,0.908749998,0.375084013,0.910618305,0.909610212,0.538306475,0.283854157,,,,
31,cnn,noise,0.3,0,0.191278011,0.535198629,0.934187472,0.878083348,0.352822572,0.881720424,0.877436161,0.509744644,0.27402553,,,,
32,cnn,noise,0.3,0,0.193010107,0.400428265,0.934916675,0.91716665,0.382308453,0.91255039,0.917422712,0.555275559,0.290910631,,,,
33,cnn,noise,0.3,0,0.182270974,0.466030478,0.938437521,0.90716666,0.375756055,0.908014119,0.907090068,0.535954297,0.296875,,,,
34,cnn,noise,0.3,0,0.180243209,0.418547571,0.939062476,0.920750022,0.38130039,0.921538949,0.921454966,0.557543695,0.292506725,,,,
35,cnn,noise,0.3,0,0.178214356,0.514520407,0.941145837,0.897333324,0.360299051,0.899529576,0.898521483,0.523857534,0.273605525,,,,
36,cnn,noise,0.3,0,0.179912359,0.428442776,0.940458357,0.918583333,0.373907924,0.914986551,0.91708672,0.548471093,0.28545028,,,,
37,cnn,noise,0.3,0,0.172245458,0.436914355,0.941104174,0.916499972,0.380376339,0.916498661,0.915910602,0.540826619,0.297967076,,,,
38,cnn,noise,0.3,0,0.17606771,0.440189183,0.942854166,0.918749988,0.381468415,0.917926729,0.91885078,0.551915348,0.292254716,,,,
39,cnn,noise,0.3,0,0.162378579,0.413702846,0.946312487,0.927083313,0.384828627,0.926999331,0.927755356,0.559055805,0.295194894,,,,
40,cnn,noise,0.3,0,0.152319804,0.42741397,0.948687494,0.922999978,0.382980525,0.919606864,0.921791017,0.546875,0.292926759,,,,
41,cnn,noise,0.3,0,0.157729581,0.447817832,0.947250009,0.918583333,0.371555775,0.92036289,0.918682814,0.552839398,0.29326278,,,,
42,cnn,noise,0.3,0,0.156226963,0.474215865,0.94749999,0.919166684,0.381804436,0.917338729,0.92036289,0.544438839,0.296034932,,,,
43,cnn,noise,0.3,0,0.152229995,0.485597402,0.94956249,0.913583338,0.3671875,0.911374331,0.912718415,0.54326278,0.280493945,,,,
44,cnn,noise,0.3,0,0.153541163,0.470604539,0.949145854,0.919083357,0.371891797,0.919354856,0.919270813,0.542590737,0.278645843,,,,
45,cnn,noise,0.3,0,0.150676847,0.442916662,0.949958324,0.925249994,0.378276199,0.923051059,0.924395144,0.551915348,0.286038309,,,,
46,cnn,noise,0.3,0,0.148997873,0.447128892,0.951166689,0.928666651,0.383988589,0.926579297,0.928595424,0.564432144,0.29116264,,,,
47,cnn,noise,0.3,0,0.147692069,0.459875852,0.952458322,0.918333352,0.376008064,0.916498661,0.919942856,0.545278907,0.288390458,,,,
48,cnn,noise,0.3,0,0.137798741,0.462744743,0.953916669,0.922583342,0.372815847,0.919018805,0.920782924,0.549395144,0.288558453,,,,
49,cnn,noise,0.3,0,0.135636479,0.485623568,0.954604149,0.920166671,0.377268136,0.920194864,0.921118975,0.541078627,0.299983203,,,,
50,cnn,noise,0.3,0,0.144236505,0.479696333,0.953249991,0.920000017,0.369119614,0.916582644,0.919354856,0.54385078,0.288726479,,,,
51,cnn,noise,0.3,0,0.139282465,0.491161227,0.953104138,0.916166663,0.356938839,0.914818525,0.917926729,0.525117636,0.287634403,,,,
52,cnn,noise,0.3,0,0.131481603,0.477399915,0.95691669,0.92325002,0.378780246,0.921202958,0.923555136,0.552755356,0.282594085,,,,
53,cnn,noise,0.3,0,0.138078526,0.474329442,0.953979194,0.92658335,0.383232534,0.924647152,0.92666328,0.548639119,0.289734542,,,,
54,cnn,noise,0.3,0,0.132103786,0.518822134,0.955729187,0.920000017,0.361895174,0.916582644,0.919102848,0.543430805,0.288222432,,,,
55,cnn,noise,0.3,0,0.132052973,0.507243037,0.95714581,0.918166637,0.365591407,0.91977489,0.919186831,0.530073941,0.278225809,,,,
56,cnn,noise,0.3,0,0.124588653,0.463776976,0.958979189,0.926666677,0.373151869,0.924395144,0.926327288,0.551159263,0.285618275,,,,
57,cnn,noise,0.3,0,0.121343412,0.480300933,0.960083306,0.927083313,0.373319894,0.928259432,0.92758739,0.553343415,0.30317539,,,,
58,cnn,noise,0.3,0,0.128372878,0.450483322,0.958041668,0.928583324,0.378780246,0.926831305,0.929267466,0.550907254,0.292590737,,,,
59,cnn,noise,0.3,0,0.122135766,0.456647068,0.960874975,0.934416652,0.378024191,0.931619644,0.933551729,0.557627678,0.284274191,,,,
60,cnn,noise,0.3,0,0.123640575,0.497301996,0.95943749,0.922166646,0.367943555,0.923639119,0.922211051,0.540658593,0.275705636,,,,
61,cnn,noise,0.3,0,0.110181153,0.478826463,0.963999987,0.930999994,0.372227818,0.928847432,0.930443525,0.549059153,0.283686161,,,,
62,cnn,noise,0.3,0,0.123137623,0.471416295,0.960291684,0.934916675,0.386508733,0.929855525,0.934979856,0.562163949,0.296118945,,,,
63,cnn,noise,0.3,0,0.124594614,0.470457345,0.960416675,0.934499979,0.385920703,0.93178761,0.932879686,0.560231864,0.295530915,,,,
64,cnn,noise,0.3,0,0.124233998,0.511539102,0.959854186,0.926249981,0.375420034,0.925319195,0.925823271,0.544690847,0.291414648,,,,
65,cnn,noise,0.3,0,0.117800884,0.497356892,0.962729156,0.923583329,0.37289986,0.921286941,0.922379017,0.539146483,0.276797712,,,,
66,cnn,noise,0.3,0,0.114153109,0.51836741,0.962000012,0.915250003,0.359122992,0.916666687,0.91557461,0.538642466,0.274781585,,,,
67,cnn,noise,0.3,0,0.109346703,0.503140152,0.965145826,0.919333339,0.370967746,0.920110881,0.920194864,0.548555136,0.278393805,,,,
68,cnn,noise,0.3,0,0.102977373,0.451330692,0.965979159,0.937583327,0.380460352,0.934979856,0.937583983,0.567036271,0.30258736,,,,
69,cnn,noise,0.3,0,0.11344856,0.449670255,0.963437498,0.932666659,0.374747992,0.931703627,0.931451619,0.561323941,0.291750669,,,,
70,cnn,noise,0.3,0,0.10784971,0.473913938,0.964312494,0.93233335,0.375252008,0.93271172,0.931703627,0.552167356,0.289566547,,,,
71,cnn,noise,0.3,0,0.10149397,0.462288201,0.967645824,0.934499979,0.38642472,0.932375669,0.934307814,0.55829972,0.290322572,,,,
72,cnn,noise,0.3,0,0.115562208,0.487021446,0.962937474,0.936083317,0.373235881,0.930863559,0.936659932,0.55619961,0.285786301,,,,
73,cnn,noise,0.3,0,0.108275831,0.45755592,0.964979172,0.935500026,0.375252008,0.932207644,0.93539989,0.551999331,0.291414648,,,,
74,cnn,noise,0.3,0,0.104958758,0.483127654,0.966208339,0.929833353,0.367691547,0.929351449,0.929351449,0.543514788,0.275621653,,,,
75,cnn,noise,0.3,0,0.111109234,0.497943521,0.964604139,0.928416669,0.368867606,0.92817539,0.928259432,0.546791017,0.283602148,,,,
76,cnn,noise,0.3,0,0.100251578,0.514903128,0.968541682,0.921833336,0.360383064,0.92607528,0.922967076,0.533770144,0.270917326,,,,
77,cnn,noise,0.3,0,0.097717986,0.513120949,0.968916655,0.927999973,0.359627008,0.92666328,0.927167356,0.535282254,0.275285631,,,,
78,cnn,noise,0.3,0,0.101663388,0.459972441,0.967083335,0.9375,0.378528237,0.935063839,0.936995983,0.560315847,0.293598801,,,,
79,cnn,noise,0.3,0,0.099140868,0.505990565,0.968145847,0.928749979,0.373403907,0.929939508,0.928847432,0.545026898,0.273353487,,,,
80,cnn,noise,0.3,0,0.102560066,0.49382776,0.96702081,0.935333312,0.380376339,0.934979856,0.935735881,0.572832644,0.295530915,,,,
81,cnn,noise,0.3,0,0.1001684,0.524536431,0.968500018,0.931500018,0.374159932,0.931871653,0.932123661,0.553343415,0.280577958,,,,
82,cnn,noise,0.3,0,0.101148739,0.572803974,0.967958331,0.911833346,0.355342746,0.914230525,0.911374331,0.513356864,0.261928767,,,,
83,cnn,noise,0.3,0,0.098750591,0.538958311,0.969145834,0.929250002,0.361055106,0.929183483,0.929267466,0.548807144,0.27973789,,,,
84,cnn,noise,0.3,0,0.09970057,0.549159169,0.967083335,0.930083334,0.366935492,0.930443525,0.930695593,0.551327288,0.278477818,,,,
85,cnn,noise,0.3,0,0.095485292,0.507745028,0.969708323,0.929583311,0.371051759,0.93119961,0.929015458,0.543178737,0.287718415,,,,
86,cnn,noise,0.3,0,0.094645143,0.522565722,0.969541669,0.932083309,0.369119614,0.931451619,0.931115568,0.551915348,0.280829966,,,,
87,cnn,noise,0.3,0,0.099975452,0.53781414,0.968645811,0.931333363,0.369791657,0.928763449,0.93178761,0.545530915,0.279569894,,,,
88,cnn,noise,0.3,0,0.102190346,0.509306192,0.96783334,0.928166687,0.379284263,0.928259432,0.929015458,0.540238559,0.278141797,,,,
89,cnn,noise,0.3,0,0.097770751,0.488317758,0.96897918,0.93566668,0.38222447,0.931115568,0.934895813,0.555023551,0.295194894,,,,
90,cnn,noise,0.3,0,0.085740395,0.516160309,0.971833348,0.934249997,0.382308453,0.932207644,0.932543695,0.553427398,0.287298381,,,,
91,cnn,noise,0.3,0,0.086820625,0.497385651,0.972458363,0.933333337,0.37138778,0.932795703,0.93329972,0.554183483,0.288390458,,,,
92,cnn,noise,0.3,0,0.086428978,0.554628074,0.972562492,0.93083334,0.372815847,0.929603517,0.930611551,0.545530915,0.278729826,,,,
93,cnn,noise,0.3,0,0.087456621,0.518876553,0.971729159,0.933333337,0.369371653,0.931367636,0.933215737,0.550151229,0.285534263,,,,
94,cnn,noise,0.3,0,0.089808717,0.521918416,0.971270859,0.934833348,0.381216407,0.93447578,0.934811831,0.555191517,0.283854157,,,,
95,cnn,noise,0.3,0,0.095919736,0.554035008,0.969916642,0.926333308,0.369875669,0.927251339,0.926327288,0.538390458,0.28335014,,,,
96,cnn,noise,0.3,0,0.091935545,0.545340836,0.970166683,0.935166657,0.368363589,0.933635771,0.934811831,0.548639119,0.288222432,,,,
97,cnn,noise,0.3,0,0.089450613,0.542666435,0.972166657,0.938250005,0.361391127,0.934811831,0.937331975,0.558215737,0.29838711,,,,
98,cnn,noise,0.3,0,0.085385405,0.540836513,0.973208308,0.927583337,0.361559153,0.928595424,0.927503347,0.542002678,0.281586021,,,,
99,cnn,noise,0.3,0,0.085032664,0.548195839,0.972520828,0.937416673,0.377520174,0.933635771,0.937079966,0.556451619,0.277721763,,,,
100,cnn,noise,0.3,0,0.087330975,0.537392557,0.97231251,0.935333312,0.372227818,0.935903907,0.935567856,0.558467746,0.285534263,,,,
101,cnn,noise,0.3,0,0.899992108,0.492008179,0.755916655,0.851916671,0.367103487,0.847698271,0.850806475,0.519741237,0.287802428,,,,
102,cnn,noise,0.3,0,0.507748842,0.375923336,0.84087503,0.888083339,0.363995284,0.884492636,0.888356864,0.526797712,0.288894475,,,,
103,cnn,noise,0.3,0,0.371206015,0.292898715,0.879166663,0.915333331,0.372647852,0.913810492,0.913474441,0.542422712,0.28276211,,,,
104,cnn,noise,0.3,0,0.303916007,0.24017182,0.900187492,0.932083309,0.377184153,0.924647152,0.930863559,0.550151229,0.289818555,,,,
105,cnn,noise,0.3,0,0.25786531,0.273654342,0.914499998,0.920333326,0.351814508,0.918766797,0.922547042,0.5234375,0.274109542,,,,
106,cnn,noise,0.3,0,0.221147373,0.204598293,0.92543751,0.943833351,0.369791657,0.944976449,0.944304407,0.5390625,0.285618275,,,,
107,cnn,noise,0.3,0,0.201498806,0.19724445,0.932250023,0.946833313,0.361307114,0.946068525,0.946656585,0.540154576,0.287130386,,,,
108,cnn,noise,0.3,0,0.191349208,0.236742452,0.936437488,0.936249971,0.359038979,0.936575949,0.937583983,0.527973771,0.263944894,,,,
109,cnn,noise,0.3,0,0.168666244,0.201973408,0.942395806,0.949999988,0.364835352,0.944892466,0.949344754,0.551999331,0.28696236,,,,
110,cnn,noise,0.3,0,0.160112545,0.18479158,0.945562482,0.952166677,0.362315178,0.950688839,0.952284932,0.539818525,0.272513449,,,,
111,cnn,noise,0.3,0,0.151011154,0.187339708,0.949625015,0.95691669,0.357778907,0.952956975,0.956905246,0.554603517,0.284190178,,,,
112,cnn,noise,0.3,0,0.146729842,0.206023484,0.950854182,0.949083328,0.362735212,0.948672712,0.948504686,0.536626339,0.282678097,,,,
113,cnn,noise,0.3,0,0.142225161,0.176579461,0.953125,0.95691669,0.375,0.95791328,0.957493305,0.546286941,0.287046373,,,,
114,cnn,noise,0.3,0,0.142084181,0.141882777,0.952979147,0.966583312,0.380964369,0.963121653,0.96664989,0.559643805,0.288978487,,,,
115,cnn,noise,0.3,0,0.124881022,0.196712315,0.958083332,0.955749989,0.362231195,0.954805136,0.956233203,0.544942856,0.290406585,,,,
116,cnn,noise,0.3,0,0.127129287,0.152115718,0.958312511,0.967333317,0.37558803,0.964969754,0.968161941,0.553007364,0.281670034,,,,
117,cnn,noise,0.3,0,0.125675887,0.173348904,0.958333313,0.96266669,0.375840068,0.961105525,0.963625669,0.557543695,0.283686161,,,,
118,cnn,noise,0.3,0,0.120839387,0.188422859,0.960666656,0.959583342,0.366767466,0.957745314,0.959509432,0.545530915,0.286038309,,,,
119,cnn,noise,0.3,0,0.115421079,0.184285894,0.961687505,0.962499976,0.377436161,0.9609375,0.96396172,0.5546875,0.287046373,,,,
120,cnn,noise,0.3,0,0.114825509,0.173841953,0.963,0.96541667,0.368027568,0.964465737,0.964465737,0.555023551,0.293010741,,,,
121,cnn,noise,0.3,0,0.100932583,0.223562106,0.966437519,0.948499978,0.361307114,0.948084652,0.948588729,0.542590737,0.273101479,,,,
122,cnn,noise,0.3,0,0.116387859,0.167519674,0.961729169,0.965333343,0.37079972,0.965053737,0.966061831,0.564516127,0.298303097,,,,
123,cnn,noise,0.3,0,0.104116507,0.172853738,0.966437519,0.967750013,0.371975809,0.965305805,0.967489898,0.554015458,0.288810492,,,,
124,cnn,noise,0.3,0,0.102522627,0.190859571,0.965958357,0.96541667,0.367271513,0.96244961,0.964465737,0.562920034,0.286710352,,,,
125,cnn,noise,0.3,0,0.102400787,0.177608907,0.966208339,0.962249994,0.376764119,0.959005356,0.961861551,0.548303068,0.280829966,,,,
126,cnn,noise,0.3,0,0.103852317,0.171927139,0.965541661,0.965666652,0.369623661,0.963625669,0.965053737,0.553511441,0.281081975,,,,
127,cnn,noise,0.3,0,0.098785453,0.184480861,0.968208313,0.96450001,0.367355525,0.963877678,0.964213729,0.554771483,0.281586021,,,,
128,cnn,noise,0.3,0,0.102257386,0.1841259,0.967499971,0.964416683,0.372815847,0.961357534,0.962953627,0.562836051,0.285282254,,,,
